id,text,class
204215,"Do NOT WASTE Your Time: This book, to put it nicely, was not one of my favorites.. It was a sleeper and waste of my tiome and money. Too, too much drama and not enough sense or purpose. Better Luck Next Time
",negative
208138,"Peels the paint off the walls: I first heard this album in the early 70's in high school. Now I've turned my own kids (21, 20, 16, 16 and 13) onto it. They can't believe that you could once go into a club and hear bands like this LIVE. They only listen to classic stuff I give them now; there's nothing on the radio that remotely comes close to the gut-wrenching energy of great musicians playing live at full throttle. If you only know Edgar Winter from his ""Frankenstein"" and ""Free Ride"" days, you've got an eye-opening experience ahead of you. Listen in particular to Edgar's 18 second full-throated stratospheric sustained vocal in Tobacco Road. You could refinish furniture by putting it in front of the speakers with this song turned up. An absolute MUST HAVE CD.
",positive
157010,"History With Modern Appeal: This is a must read for anyone interested in the history of the Caucausus and/or Russia. This is Blanch's tour de force, evidently the culmination of years of research and travel in the region, and she does not disappoint. The historical tale and larger than life personalities detailed are more than enough to hold a reader's interest. She manages to straddle the line between fact and romantic fiction, paying close attention to detail while never over-committing her sympathies to one side or the other.I can't speak to historical inconsistency here, not being a specialist in the area, that said, in a book of this scope, there is bound to be some. If you can put that aside, ""Sabres of Paradise"" is a sweeping, entertaining read, and a fascinating look into a world that has certainly passed, but whose remnants live in various movements throughout the world. Good book.
",positive
274316,"Worse Music cd ever: I tried putting this in a shredder and it broke the shredder I was using that's how bad the music was.
",negative
57708,"Deliberately Obtuse Nonsense: I don't know what kind of twisted brains would think this movie is great, ""one of the Coen brothers best"", but it is a sick movie with no redeeming message and no sympathetic characters. One feels obliged to watch it to conclusion because one hopes to find some kind of logic or some insight into what motivates the characters. The actors are wooden and often mumble, if they speak at all. There is nothing memborable, nothing to make you want to watch it again. Instead one feels it was a total waste of time to watch this degenerate crap. Fortunately I did not buy it but saw it on TV. I would not recommend anyone buy this DVD.
",negative
101657,"NIV Bible: The NIV Bible is good, but I wish I could get to the exact biblebook and verse more quickly. It would be great if I could just type in the book and verse and quickly move to it.
",positive
49225,"pouch can be better: I recently bought it at Amazon.Pouch is made in Mexico and it is smaller than needed,I had to fix the button --it wouldn't close.Tool is good and pouch should be made where tool is made.
",positive
200048,"Disappointed: Very small wipes canister, not very wet, small wipes, hard to pull out of container. With that said, I like the ingredients and the idea, but keep working on the formulation and engineering of packaging.
",negative
158265,"Great book!: Dawn of a Thousand Nights is extremely well written and kept me wanting to go back to it. I love how Ms Goyer threaded scripture and the message of God's grace throughout the story.
",positive
66951,"PWR+ 9.6 volt Makita battery: Bought this battery as a lower cost replacement for original Makita battery. I was skeptical at first but this battery works fine. I would buy again.
",positive
